66,50,Tosaki,58,Sun Aug 18 16:25:02 CST 2019,4
67,63,why2,58,Fri Jul 26 16:25:02 CST 2019,2
68,49,why3,59,Tue Aug 20 16:25:02 CST 2019,36
63,37,Saitama,56,Thu Aug 22 16:25:02 CST 2019,16
64,27,Tosaki,57,Wed Aug 07 16:25:02 CST 2019,3
65,36,why1,58,Mon Aug 19 16:25:02 CST 2019,4
72,86,Tosaki,63,Fri Jul 26 16:25:02 CST 2019,4
73,83,why3,64,Fri Aug 16 16:25:02 CST 2019,43
82,86,why1,73,Fri Jul 26 16:25:02 CST 2019,4
74,66,why1,65,Thu Aug 15 16:25:02 CST 2019,11
91,42,Tosaki,79,Tue Aug 20 16:25:02 CST 2019,19
75,24,why3,66,Sun Aug 11 16:25:02 CST 2019,7
83,27,why3,74,Sun Aug 18 16:25:02 CST 2019,14
32,68,why2,28,Fri Jul 26 16:25:02 CST 2019,15
92,46,Tosaki,79,Sun Aug 18 16:25:02 CST 2019,16
84,91,Tosaki,75,Sun Aug 25 16:25:02 CST 2019,16
44,40,Saitama,40,Sun Aug 11 16:25:02 CST 2019,31
33,17,why3,29,Mon Aug 19 16:25:02 CST 2019,3
93,93,Saitama,80,Wed Aug 21 16:25:02 CST 2019,9
57,38,why2,51,Wed Jul 31 16:25:02 CST 2019,11
69,31,why1,60,Sun Aug 18 16:25:02 CST 2019,9
41,65,why3,37,Thu Aug 22 16:25:02 CST 2019,20
45,28,why3,41,Thu Aug 22 16:25:02 CST 2019,5
34,90,Tosaki,30,Wed Aug 21 16:25:02 CST 2019,4
58,54,Tosaki,51,Mon Aug 19 16:25:02 CST 2019,33
70,54,why3,61,Mon Jul 29 16:25:02 CST 2019,13
85,90,why3,76,Wed Aug 21 16:25:02 CST 2019,4
42,7,Saitama,38,Thu Aug 08 16:25:02 CST 2019,5
88,46,Tosaki,78,Fri Aug 16 16:25:02 CST 2019,15
46,58,why3,42,Fri Jul 26 16:25:02 CST 2019,10
59,52,why3,52,Mon Aug 19 16:25:02 CST 2019,13
71,89,why2,62,Fri Aug 23 16:25:02 CST 2019,4
86,17,Tosaki,77,Tue Aug 13 16:25:02 CST 2019,25
43,94,why1,39,Fri Jul 26 16:25:02 CST 2019,7
89,52,why1,78,Mon Aug 19 16:25:02 CST 2019,13
35,17,Saitama,31,Tue Aug 20 16:25:02 CST 2019,13
87,65,why3,77,Thu Aug 15 16:25:02 CST 2019,11
90,54,why2,78,Tue Aug 20 16:25:02 CST 2019,39
60,62,Tosaki,53,Thu Aug 08 16:25:02 CST 2019,20
38,94,why3,34,Wed Aug 21 16:25:02 CST 2019,9
49,13,Saitama,44,Thu Aug 15 16:25:02 CST 2019,22
61,88,Saitama,54,Tue Aug 20 16:25:02 CST 2019,27
39,67,Tosaki,35,Mon Aug 19 16:25:02 CST 2019,17
50,28,why3,45,Fri Jul 26 16:25:02 CST 2019,2
36,63,Saitama,32,Sat Aug 17 16:25:02 CST 2019,13
79,50,why1,70,Wed Aug 21 16:25:02 CST 2019,6
62,50,Saitama,55,Fri Aug 23 16:25:02 CST 2019,47
97,94,why1,83,Fri Jul 26 16:25:02 CST 2019,7
40,79,why2,36,Mon Aug 19 16:25:02 CST 2019,13
37,24,Saitama,33,Thu Aug 15 16:25:02 CST 2019,14
80,15,Saitama,71,Thu Aug 22 16:25:02 CST 2019,49
47,60,why2,43,Mon Aug 19 16:25:02 CST 2019,33
98,13,why1,84,Thu Aug 15 16:25:02 CST 2019,22
81,50,Tosaki,72,Sun Aug 18 16:25:02 CST 2019,4
48,69,Tosaki,43,Fri Jul 26 16:25:02 CST 2019,15
99,93,why3,85,Tue Aug 13 16:25:02 CST 2019,4
54,62,why2,48,Thu Aug 08 16:25:02 CST 2019,20
55,71,why3,49,Tue Aug 20 16:25:02 CST 2019,21
100,14,why2,86,Sat Aug 24 16:25:02 CST 2019,2
29,91,Saitama,25,Sun Aug 25 16:25:02 CST 2019,16
76,50,why2,67,Wed Aug 21 16:25:02 CST 2019,6
56,21,Tosaki,50,Sun Aug 11 16:25:02 CST 2019,16
94,26,why2,81,Sun Aug 04 16:25:02 CST 2019,6
7,90,why2,7,Wed Aug 21 16:25:02 CST 2019,4
30,71,Tosaki,26,Tue Aug 20 16:25:02 CST 2019,21
77,64,why2,68,Sat Aug 17 16:25:02 CST 2019,15
95,46,why3,82,Fri Aug 16 16:25:02 CST 2019,15
51,95,why1,46,Fri Aug 23 16:25:02 CST 2019,18
4,64,why3,4,Sat Aug 17 16:25:02 CST 2019,15
31,90,Tosaki,27,Thu Aug 22 16:25:02 CST 2019,37
8,24,why1,8,Sun Aug 11 16:25:02 CST 2019,7
78,35,why3,69,Sun Aug 18 16:25:02 CST 2019,2
96,54,why1,83,Mon Jul 29 16:25:02 CST 2019,13
52,21,why3,47,Sun Aug 18 16:25:02 CST 2019,2
5,75,Tosaki,5,Thu Aug 22 16:25:02 CST 2019,7
9,83,Tosaki,9,Fri Aug 16 16:25:02 CST 2019,43
26,30,why2,22,Fri Aug 23 16:25:02 CST 2019,8
6,89,why3,6,Tue Aug 20 16:25:02 CST 2019,27
53,71,why3,47,Wed Aug 14 16:25:02 CST 2019,4
27,2,why1,23,Sun Aug 18 16:25:02 CST 2019,36
16,37,why2,15,Thu Aug 22 16:25:02 CST 2019,16
1,87,why2,1,Sun Aug 18 16:25:02 CST 2019,43
28,88,why1,24,Tue Aug 20 16:25:02 CST 2019,27
10,71,why3,10,Tue Aug 20 16:25:02 CST 2019,21
